STUDYYEAR,Annual_Childcare_Cost,MHI,MFI,FME,MME,FEMR_20to64,Burden_MHI,Burden_MFI,Burden_FME,Burden_MME
2008,4355.962962962963,26354.666666666668,32253.096296296295,15839.192592592593,23271.14814814815,46.7962962962963,16.528241537095123,13.50556524231495,27.501167988828456,18.71829844935948
2009,4561.093333333333,28099.929936305733,34460.89808917198,16536.67515923567,24202.337579617833,46.84777070063694,16.231689344678042,13.23556142248795,27.581683073613377,18.845672730284075
2010,4555.487238095237,28216.377245508982,35115.065868263475,17075.934131736525,24767.790419161676,47.07125748502994,16.144833897201686,12.973027745940882,26.677821564259986,18.392788218083723
2011,4653.805714285714,28975.124183006537,36126.36601307189,17503.320261437908,25334.2091503268,47.37908496732026,16.061383153674626,12.882020053170558,26.588130964721323,18.36965064380422
2012,5947.168842105263,49364.08276533593,60552.338851022396,21496.970788704966,33519.53359298929,44.11217137293087,12.047562739849871,9.82153448562433,27.665148269308954,17.742397356474946
2013,5121.35097744361,31230.075,39220.42,18064.425,26894.615,47.2175,16.398778989303132,13.057868777141115,28.35047878603172,19.042291467803533
2014,5169.339746835443,32191.648401826485,39872.41095890411,18530.520547945205,27086.762557077625,47.303196347031964,16.058015055054298,12.964703218381763,27.896354737906464,19.084376495502312
2015,4965.57159090909,31634.014084507042,40117.96244131456,18755.23474178404,27516.25821596244,47.207511737089206,15.69693804157788,12.37742718906235,26.475656846067043,18.04595505659456
2016,4943.543333333333,31915.90306122449,40282.81122448979,19023.576530612245,27844.04081632653,47.135714285714286,15.489279196800732,12.27209120481622,25.98640337361543,17.75440341415767
2017,5107.063999999999,32813.84482758621,41516.4367816092,19430.793103448275,28166.764367816093,46.87528735632184,15.563747640162395,12.3013061714928,26.283353298088883,18.1315252732239
2018,5141.292436974791,32281.739644970414,40542.16568047337,20066.260355029586,27955.71597633136,46.333727810650885,15.926317768242763,12.681346323467446,25.621577443981142,18.39084515427061
2019,5592.166666666667,33150.65189873418,42074.46835443038,20673.36075949367,28719.227848101265,46.631645569620254,16.86894931583592,13.291116644799672,27.05010922860532,19.471855915640106
2020,5678.072173913044,33425.105590062114,42709.63354037267,20867.32298136646,29064.658385093167,46.6527950310559,16.9874472306865,13.294593521964224,27.21035265991376,19.53600176090576
2021,5292.391764705882,35335.346820809245,44742.57225433526,21919.612716763007,30335.49710982659,46.5606936416185,14.977613751873955,11.828537113650377,24.144549600817218,17.44620088322705
2022,6137.252473118279,37876.024242424246,47651.46666666667,23471.69090909091,32191.60606060606,46.914545454545454,16.203528738489016,12.87946185591688,26.147466311177592,19.06476011654678
